AL, 04, 2021062618, GN, OFCL,  48,     ,      ,  10,   48, PPP, genFcst, , ,  0, 009, 
AL, 04, 2021062618, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 009, 
AL, 04, 2021062618, GN, OFCL, 168,     ,      ,  10,  168, PPP, genFcst, , ,  0, 009, 
AL, 04, 2021062700, GN, OFCL,  48,     ,      ,  10,   48, RJB, genFcst, , ,  0, 009, 
AL, 04, 2021062700, GN, OFCL, 120,     ,      ,  10,  120, RJB, genFcst, , ,  0, 009, 
AL, 04, 2021062700, GN, OFCL, 168,     ,      ,  10,  168, RJB, genFcst, , ,  0, 009, 
AL, 04, 2021062706, GN, OFCL,  48,     ,      ,  20,   48, RJP, genFcst, , ,  0, 009, 
AL, 04, 2021062706, GN, OFCL, 120,     ,      ,  20,  120, RJP, genFcst, , ,  0, 009, 
AL, 04, 2021062706, GN, OFCL, 168,     ,      ,  20,  168, RJP, genFcst, , ,  0, 009, 
AL, 04, 2021062712, GN, OFCL,  48,     ,      ,  20,   48, SRS, genFcst, , ,  0, 009, 
AL, 04, 2021062712, GN, OFCL, 120,     ,      ,  20,  120, SRS, genFcst, , ,  0, 009, 
AL, 04, 2021062712, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 009, 
AL, 04, 2021062712, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021062712, al962021,  1, 009, 
AL, 04, 2021062712, IN, IVCN,  12,     ,      ,  68,  32,   ,    4, 
AL, 04, 2021062712, IN, IVCN,  24,     ,      ,  68,  35,   ,    6, 
AL, 04, 2021062712, IN, IVCN,  36,     ,      ,  68,  38,   ,    8, 
AL, 04, 2021062712, IN, IVCN,  48,     ,      ,  68,  30,   ,    9, 
AL, 04, 2021062712, IN, IVCN,  60,     ,      ,  68,  28,   ,   10, 
AL, 04, 2021062712, IN, IVCN,  72,     ,      ,  68,  27,   ,    9, 
AL, 04, 2021062712, IN, IVCN,  96,     ,      ,  68,  29,   ,    9, 
AL, 04, 2021062712, IN, IVCN, 120,     ,      ,  68,  32,   ,   15, 
AL, 04, 2021062712, RI, EIOB,  12, 290N,  711W,   1,  20,  50,    ,            0,           12, 
AL, 04, 2021062712, RI, EIOB,  24, 290N,  711W,   1,  25,  55,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOB,  24, 290N,  711W,   0,  30,  60,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOB,  24, 290N,  711W,   0,  35,  65,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOB,  24, 290N,  711W,   0,  40,  70,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOB,  36, 290N,  711W,   0,  45,  75,    ,            0,           36, 
AL, 04, 2021062712, RI, EIOB,  48, 290N,  711W,   0,  55,  85,    ,            0,           48, 
AL, 04, 2021062712, RI, EIOB,  72, 290N,  711W,   0,  65,  95,    ,            0,           72, 
AL, 04, 2021062712, RI, EIOC,  12, 290N,  711W,   2,  20,  50,    ,            0,           12, 
AL, 04, 2021062712, RI, EIOC,  24, 290N,  711W,   9,  25,  55,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOC,  24, 290N,  711W,   5,  30,  60,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOC,  24, 290N,  711W,   1,  35,  65,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOC,  24, 290N,  711W,   1,  40,  70,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOC,  36, 290N,  711W,  10,  45,  75,    ,            0,           36, 
AL, 04, 2021062712, RI, EIOC,  48, 290N,  711W,  13,  55,  85,    ,            0,           48, 
AL, 04, 2021062712, RI, EIOC,  72, 290N,  711W,  13,  65,  95,    ,            0,           72, 
AL, 04, 2021062712, RI, EIOD,  12, 290N,  711W,   2,  20,  50,    ,            0,           12, 
AL, 04, 2021062712, RI, EIOD,  24, 290N,  711W,   8,  25,  55,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOD,  24, 290N,  711W,   6,  30,  60,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOD,  24, 290N,  711W,   0,  35,  65,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOD,  24, 290N,  711W,   0,  40,  70,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOD,  36, 290N,  711W,   8,  45,  75,    ,            0,           36, 
AL, 04, 2021062712, RI, EIOD,  48, 290N,  711W,   9,  55,  85,    ,            0,           48, 
AL, 04, 2021062712, RI, EIOD,  72, 290N,  711W,   0,  65,  95,    ,            0,           72, 
AL, 04, 2021062712, RI, EIOL,  12, 290N,  711W,   2,  20,  50,    ,            0,           12, 
AL, 04, 2021062712, RI, EIOL,  24, 290N,  711W,  18,  25,  55,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOL,  24, 290N,  711W,   8,  30,  60,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOL,  24, 290N,  711W,   4,  35,  65,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOL,  24, 290N,  711W,   3,  40,  70,    ,            0,           24, 
AL, 04, 2021062712, RI, EIOL,  36, 290N,  711W,  21,  45,  75,    ,            0,           36, 
AL, 04, 2021062712, RI, EIOL,  48, 290N,  711W,  31,  55,  85,    ,            0,           48, 
AL, 04, 2021062712, RI, EIOL,  72, 290N,  711W,  40,  65,  95,    ,            0,           72, 
AL, 04, 2021062712, RI, RIOB,  12, 290N,  711W,   1,  20,  50,    ,            0,           12, 
AL, 04, 2021062712, RI, RIOB,  24, 290N,  711W,   0,  25,  55,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOB,  24, 290N,  711W,   0,  30,  60,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOB,  24, 290N,  711W,   0,  35,  65,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOB,  24, 290N,  711W,   0,  40,  70,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOB,  36, 290N,  711W,   0,  45,  75,    ,            0,           36, 
AL, 04, 2021062712, RI, RIOB,  48, 290N,  711W,   0,  55,  85,    ,            0,           48, 
AL, 04, 2021062712, RI, RIOB,  72, 290N,  711W,   0,  65,  95,    ,            0,           72, 
AL, 04, 2021062712, RI, RIOC,  12, 290N,  711W,   1,  20,  50,    ,            0,           12, 
AL, 04, 2021062712, RI, RIOC,  24, 290N,  711W,   6,  25,  55,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOC,  24, 290N,  711W,   4,  30,  60,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOC,  24, 290N,  711W,   3,  35,  65,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOC,  24, 290N,  711W,   2,  40,  70,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOC,  36, 290N,  711W,   6,  45,  75,    ,            0,           36, 
AL, 04, 2021062712, RI, RIOC,  48, 290N,  711W,   7,  55,  85,    ,            0,           48, 
AL, 04, 2021062712, RI, RIOC,  72, 290N,  711W,   2,  65,  95,    ,            0,           72, 
AL, 04, 2021062712, RI, RIOD,  12, 290N,  711W,   2,  20,  50,    ,            0,           12, 
AL, 04, 2021062712, RI, RIOD,  24, 290N,  711W,   6,  25,  55,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOD,  24, 290N,  711W,   6,  30,  60,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOD,  24, 290N,  711W,   6,  35,  65,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOD,  24, 290N,  711W,   4,  40,  70,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOD,  36, 290N,  711W,   7,  45,  75,    ,            0,           36, 
AL, 04, 2021062712, RI, RIOD,  48, 290N,  711W,   8,  55,  85,    ,            0,           48, 
AL, 04, 2021062712, RI, RIOD,  72, 290N,  711W,   0,  65,  95,    ,            0,           72, 
AL, 04, 2021062712, RI, RIOL,  12, 290N,  711W,   2,  20,  50,    ,            0,           12, 
AL, 04, 2021062712, RI, RIOL,  24, 290N,  711W,  10,  25,  55,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOL,  24, 290N,  711W,   6,  30,  60,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOL,  24, 290N,  711W,   3,  35,  65,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOL,  24, 290N,  711W,   2,  40,  70,    ,            0,           24, 
AL, 04, 2021062712, RI, RIOL,  36, 290N,  711W,  11,  45,  75,    ,            0,           36, 
